video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=emY12SGdrIM&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@cuervojoe13,cuervojoe13,"X - White Girl (Studio Version), L.A. Punk",471K,13 years,X is a pioneering Los Angeles punk rock band. Produced by Doors keyboardist Ray Manzarek.,2024-01-29 03:47:35.156835,rock band,Los Angeles
/watch?v=0E7DVT9LWas&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@mgmconnection,Multi Genre Music Connection,"The Cult (Live, Los Angeles, 2001) 1 Hour 26 Minutes",904K,10 years,The Cult Live In Los Angeles 2001.,2024-01-29 03:47:35.159627,rock band,Los Angeles
/watch?v=s6198qSm0Y0&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/channel/UCH1hyfg5p7TObQnr-IxzqJA,LAGunsOfficial,L.A. Guns - The Ballad Of Jayne (Official Music Video),19M,14 years,REMASTERED IN HD! Official Music Vide for The Ballad of Jayne performed by L.A. Guns. Follow L.A. Guns: Facebook: ...,2024-01-29 03:47:35.163719,rock band,Los Angeles
/watch?v=iJ5RaPj7drQ&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@rnrtruestories,Rock N' Roll True Stories,"X  Whatever Happened To the Punk Band? Los Angeles, More Fun In he New World, Wild gift",69K,2 years,X: Whatever happened to hte punk rock group founded in LA? Have a video request or a topic you'd like to see us cover? Fill out ...,2024-01-29 03:47:35.166767,rock band,Los Angeles
/watch?v=RYheheoxYhk&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/channel/UC3zHga4guDC9lh9LA5GcV5A,LILIAC,Crazy Train - Liliac (Official Cover Music Video),11M,5 years,Crazy Train (cover) performed by LILIAC rock band. Vocals by Melody Cristea Guitars by Samuel Cristea Bass guitar by Melody ...,2024-01-29 03:47:35.169651,rock band,Los Angeles
/watch?v=cXIr-n3NaYE&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@lukey2jedi,lukey2jedi,Saints of Los Angeles by Mötley Crüe | Rock Band 4 Pro Drums 100% FC,1.3K,11 months,Difficulty: 4 (Challenging) FC #2595 The kit I'm playing on is a Roland TD-11K connected to an Xbox One X with a Madcatz Xbox ...,2024-01-29 03:47:44.148870,rock band,Los Angeles
/watch?v=Z_tTqi3XkIo&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@blahblahjr,blahblahjr,Rock Band (Full Band): Saints of Los Angeles,3.4K,15 years,"Firstly, yes, I know, we suck. We just formed a band for the hell of it and our forum wanted to see us play, so I took upon the task of ...",2024-01-29 03:47:44.152583,rock band,Los Angeles
/watch?v=yY4elTSE6Qg&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@EliteRhythmGaming,EliteRhythmGaming,Saints of Los Angeles Full Band FC,2.5K,12 years,This is the greatest rock band performance of all time. - John Guitar/Vocals - Not getting linked Bass - Lion-O ...,2024-01-29 03:47:44.155591,rock band,Los Angeles
/watch?v=5LnI-xnZv1s&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@ArmalyteIndustries,Armalyte Industries,"Upcoming Alternative Rock Band from Los Angeles, California| FEATURED - We The People ft. I YA TOYAH",15K,3 years,"Upcoming Alternative Rock Band from Los Angeles, California| FEATURED - 'We The People' ft. I YA TOYAH (Official Music ...",2024-01-29 03:47:44.158755,rock band,Los Angeles
/watch?v=SRIRFXRa6gs&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@kingkingkings,KingKingKings,King King Kings @ Paradiso Amsterdam during Jurfest 21jan2024. I wants to be loved / Muddy Waters,No,3 hours,"... why Quentin Tarantino never made a rancid biopic of the story of The Red Devils, a gritty blues-rock band from Los Angeles.",2024-01-29 03:47:44.162723,rock band,Los Angeles
/watch?v=EBy2Sl2TcPY&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@kingkingkings,KingKingKings,King King Kings @ Paradiso Amsterdam during Jurfest 21jan2024. Let The Goodtimes Roll / BB KING,No,4 hours,"... why Quentin Tarantino never made a rancid biopic of the story of The Red Devils, a gritty blues-rock band from Los Angeles.",2024-01-29 03:47:44.166003,rock band,Los Angeles
/watch?v=V-sD5Xy2N-E&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/channel/UCbirjI1K3MGu0-Y1gTBNR5w,Marilyn Manson,Marilyn Manson - The Mephistopheles Of Los Angeles (Official Music Video),22M,8 years,"""Mephistopheles of Los Angeles"" it taken from the new album, THE PALE EMPEROR, available now wherever music is sold.",2024-01-29 03:47:44.169195,rock band,Los Angeles
/watch?v=Qz3mtNegoJ8&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@kingkingkings,KingKingKings,King King Kings @ Paradiso Amsterdam during Jurfest 21jan2024. No Fighting / Red Devils,No,4 hours,"... why Quentin Tarantino never made a rancid biopic of the story of The Red Devils, a gritty blues-rock band from Los Angeles.",2024-01-29 03:47:44.172153,rock band,Los Angeles
/watch?v=ukmobha2krY&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@SlaughterVEVO,SlaughterVEVO,Slaughter - Fly To The Angels,45M,14 years,Music video by Slaughter performing Fly To The Angels.,2024-01-29 03:47:44.175425,rock band,Los Angeles
/watch?v=M9hvPkjSgog&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@kingkingkings,KingKingKings,King King Kings @ Paradiso Amsterdam during Jurfest 21jan2024. Snatch it Back / Junior Wells,No,4 hours,"... why Quentin Tarantino never made a rancid biopic of the story of The Red Devils, a gritty blues-rock band from Los Angeles.",2024-01-29 03:47:44.178590,rock band,Los Angeles
/watch?v=cYZojHr89Tg&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@RossiMusic,Rossi Music,Hollywood spinners wedding band for hire in Los Angeles,No,20 hours,"https://www.rossimusic.biz/dance-bands-los-angeles Rossi Music is the only agency in Los Angeles, Orange County, or Ventura ...",2024-01-29 03:47:44.181730,rock band,Los Angeles
/watch?v=sTV19HGdowE&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@kingkingkings,KingKingKings,"King King Kings @ Paradiso Amsterdam during Jurfest 21jan2024. Automatic / Red Devils, L. Butler",No,3 hours,"... why Quentin Tarantino never made a rancid biopic of the story of The Red Devils, a gritty blues-rock band from Los Angeles.",2024-01-29 03:47:44.184822,rock band,Los Angeles
/watch?v=pB8tyjN5of0&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@GigsMercuryStudios,GIGS,"Mötley Crüe - Kick Start My Heart (The End, Live In Los Angeles)",9.8M,4 years,On the 31st December 2015 Mötley Crüe took to the stage of the Staples Center in their home city of Los Angeles for their last ever ...,2024-01-29 03:47:44.189530,rock band,Los Angeles
/shorts/z_t-5H8wDrY,/@sandy_utuh_ucih,Sandy Utuh Ucih,"BAND MAID-THRILL Live at Lodge Room, Los Angeles, USA 2018",3.5K,2 years,BandMaid #girlband #Rockband #Femaleband #hardrock.,2024-01-29 03:47:44.192577,rock band,Los Angeles
/watch?v=a5rHKkqsZY4&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@alldayRB,alldayRB,Rock Band 4 - Saints of Los Angeles - Motley Crue - Full Band [HD],689,3 years,Vocals: lady_in_red_210 (Mexico) Pro Drums: xSaint_Jimmyx (USA) Bass: avastarr (USA) Guitar: gnugs (USA),2024-01-29 03:47:44.195298,rock band,Los Angeles
/watch?v=GlG-vN8i9Qc&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@SchoolofRockUSA,School of Rock,"School of Rock Students Perform ""California Dreamin'"" by The Mamas & The Papas",11M,4 years,"School of Rock students perform """"California Dreamin"""" live in studio. CAST: Lead Vocals - Lauren Frihauf Background Vocals ...",2024-01-29 03:47:44.198377,rock band,Los Angeles
/watch?v=LESGl1MKTew&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@TheClassicRockShow,The Classic Rock Show,"ZZ Top ""La Grange"" performed by The Classic Rock Show",1.2M,8 years,"The Classic Rock Show performing ""La Grange"" from the 1973 ZZ Top album ""Just Got Paid"", recorded live at the Philharmonic ...",2024-01-29 03:47:44.208266,rock band,Los Angeles
/watch?v=8kAiQiz_XDs&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@GrrlBandGeek,GrrlBandGeek,X - Los Angeles (music video),301K,13 years,"X - Los Angeles (live) Live music video of X performing ""Los Angeles"".",2024-01-29 03:47:44.214141,rock band,Los Angeles
/watch?v=pZThG_d4lyc&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@EduardoSeijas,Edu Seijas,"Dennis DeYoung and the Music of Styx - Live In Los Angeles [2014]  720p video, HQ audio",1.8M,6 years,Full length high quality video and audio recording of the 2014 Concert at Los Angeles. Songlist: 0:00 The Grand Illusion 5:04 Lady ...,2024-01-29 03:47:51.677844,rock band,Los Angeles
/watch?v=3ZCzWXgO2gA&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@allofcelebrities,All Of Celebrities,Legendary Los Angeles rock band Rage Against the Machine say they won't play live again,915,3 weeks,Los Angeles's legendary rock band Rage Against the Machine has announced that they will not be performing live again.,2024-01-29 03:47:51.679335,rock band,Los Angeles
/watch?v=pHK4chiRPts&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@SchoolofRockUSA,School of Rock,"School of Rock Students Perform ""Bohemian Rhapsody"" by Queen",1.3M,4 years,"School of Rock AllStars perform ""Bohemian Rhapsody"" by Queen in studio in Los Angeles, CA. With over 230 locations worldwide ...",2024-01-29 03:47:51.680747,rock band,Los Angeles
/watch?v=xfgqHremEAU&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@StageDiveFilms,PUNK ROCK TV - Stage Dive Films,"BAD RELIGION - LOS ANGELES IS BURNING - LIVE AT PUNK IN DRUBLIC FESTIVAL, ANGOULEME, FRANCE,  2019",13K,9 months,FILMED AND EDITED: STAGE DIVE FILMS.,2024-01-29 03:47:51.682045,rock band,Los Angeles
/watch?v=KYE4-_Yzj60&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@davidmedranoq,David Juan Medrano Quiroz,Arlo Guthrie- Coming Into Los Angeles [Live Woodstock 1969],884K,8 years,Coming in from London from over the Pole Flying in a big airliner Chickens flying everywhere around the plane Could we ever ...,2024-01-29 03:47:51.683363,rock band,Los Angeles
/watch?v=LkgyV_tTQfQ&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@losbravosvevo5217,LosBravosVEVO,Los Bravos - Black Is Black (FELIZ AÑO 1967 (ACTUACIÓN TVE)),28M,2 years,Los Bravos – Black is Black Tema perteneciente al álbum “Los Bravos” publicado en 1966 Escucha a Los Bravos Youtube: ...,2024-01-29 03:47:51.684739,rock band,Los Angeles
/watch?v=wmVtQMhOWF8&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@rockin1000_official,Rockin'1000,Yellow - Coldplay played by 1000 Musicians | Rockin’1000,882K,4 months,Have you ever heard a Coldplay song played live by 1000 Musicians? It happens only at Rockin'1000! ☆ Play with us ☆ Join the ...,2024-01-29 03:47:51.686243,rock band,Los Angeles
