video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=A9LZA06Q-uw&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@BeginnerDanceTutorials,Beginner Dance Tutorials,"""ALL THAT JAZZ"" | Chicago - The Musical | Easy Dance Choreography for Beginners",156K,4 years,"Song Title: ""All That Jazz"" from Chicago (The Musical) Performed by: Caroline O'Connor Watch the original performance here: ...",2024-01-29 03:05:15.841222,jazz music,Chicago
/watch?v=eEWmxscbzKs&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@BluesWhiskey-mf1ct,Blues Whiskey,Chicago Blues Music - Smooth Blues Music - Relaxing Whiskey Blues and Exquisite Jazz Blues,16K,4 months,"Chicago Blues Music - Smooth Blues Music - Relaxing Whiskey Blues and Exquisite Jazz Blues ""Chicago Blues Music"" delivers a ...",2024-01-29 03:05:15.842971,jazz music,Chicago
/watch?v=qvzD7X_k3a8&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@TVchannel02,2chann,David Sanborn ~ Chicago Song (1987),924K,12 years,Review by Scott Yanow A Change of Heart is a fairly typical '80s outing by the popular R&B-ish altoist David Sanborn. The main ...,2024-01-29 03:05:15.844525,jazz music,Chicago
/watch?v=Xx_eoxvYvc8&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@chicagothemusical,Chicago The Musical,All That Jazz (Official Video) - Chicago The Musical,441K,6 years,"Official video for ""All That Jazz"" from Chicago The Musical celebrating 21 years on Broadway! For tickets visit: ...",2024-01-29 03:05:15.846147,jazz music,Chicago
/watch?v=MnQKqtWT6nM&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@chicagothemusical,Chicago The Musical,CHICAGO on Broadway: All That Jazz,1M,9 years,"For tickets, visit www.chicagothemusical.com.",2024-01-29 03:05:15.847625,jazz music,Chicago
/watch?v=U9MDE7b--cw&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@jazzmv,Jazz on MV,David Sanborn - Chicago Song - 8/16/1998 - Newport Jazz Festival (Official),226K,9 years,"David Sanborn - Chicago Song Recorded Live: 8/16/1998 - Newport Jazz Festival - Newport, RI More David Sanborn at Music ...",2024-01-29 03:05:15.849370,jazz music,Chicago
/watch?v=BzFt3Eq15yo&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@NatureCozyMusic,Nature Cozy Music,Chicago Dusk Cafe Ambience : Relaxing Jazz & Background Noise for Relaxation [ASMR],9.1K,3 years,"Welcome to a cafe in Chicago at sunset   Watch setting the sun and listen to smooth jazz, and ambient coffee shop noise ...",2024-01-29 03:05:15.851053,jazz music,Chicago
/watch?v=ez2E1xsKZsc&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@VisitTheUSA,Visit The USA,"Chicago, Illinois – A Jazz and Blues Extravaganza Awaits You",1.6K,5 years,"Check out the musical mecca of Chicago, Illinois for the best clubs and performances in blues, jazz, rock n' roll and more. Connect ...",2024-01-29 03:05:15.853328,jazz music,Chicago
/watch?v=gqDls2Wz3d4&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@EasyKaraokeOfficial,EasyKaraoke,All That Jazz - Chicago (broadway Version) (Karaoke Version),372K,6 years,All That Jazz - Chicago (broadway Version) - Karaoke Version Website: www.easykaraoke.com Professional renditions composed ...,2024-01-29 03:05:15.854992,jazz music,Chicago
/watch?v=mZ4cGYbcJPc&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/channel/UCHFxbyVOxEPA2CSPBVKjUvg,wooden chair,Welcome to my Swing Jazz Club🎷| Swing Jazz playlists for Jazz Lovers,1M,1 year,All songs at 'Wooden Chair' are properly licensed and protected. They cannot be used out of this channel nor as BGM for 3rd ...,2024-01-29 03:05:27.455311,jazz music,Chicago
